RBD,Nombre,Dirección,Teléfono,Correo,Página web,Director(a),Sostenedor,Región,Comuna
12635,ACADEMIA IQUIQUE,Bulnes 767,2247188,ytrujillo@academiaiquique.cl,www.academiaiquique.cl,Yerka Verónica Trujillo Butler,Sociedad Comercial Ceva Tres Spa,DE TARAPACÁ,IQUIQUE
12709,ACADEMIA NERUDIANA,Avenida Jose Briggs 3285,552765745,nelly.munoz@academianerudiana.cl,Sin información.,Patricia Adriana Riveros Berríos,Corporacion Educacional Academia Nerudiana,DE TARAPACÁ,IQUIQUE
20484,AULA HOSPITALARIA SAN SEBASTIAN DE IQUIQUE,Heroes De La Concepcion 502,993970597,direccion@ahss.cl,www.ahss.cl,Nicol Alejandra Angel Rivera,Aulas Hospitalarias San Sebastian E.i.e.,DE TARAPACÁ,IQUIQUE
31474,CABALLITO DE MAR,Nicolas Palacios 243,57 2449640,mariap.vergara.b@junjired.cl,,María Paz Vergara Brockway,"Junta Nacional De Jardines Infantiles, Junji",DE TARAPACÁ,IQUIQUE
31414,CARACOLITO,Noveno Oriente 243,57 2473170,pamela.villegas.t@junjired.cl,,Eliana Pamela Villegas Tinte,"Junta Nacional De Jardines Infantiles, Junji",DE TARAPACÁ,IQUIQUE
105,CENTRO DE CAPACITACION LABORAL,Jose Francisco Vergara 2877,544777,centrocapacitacion@slepiquique.cl,www.centrolaboraliquique.cl,Sandra Verónica Figueroa Meneses,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
10889,CENTRO TRAT. INTEG. LOS TAMARUGOS,Tadeo Haenke 2215,225190,marta.navarrete@coanil.cl,www.coanil.cl,Marta Soledad Navarrete Briceño,Fundacion Educacional Coanil,DE TARAPACÁ,IQUIQUE
40320,COLEGIO ACADEMIA TARAPACA ORELLA,Orella 941,2265200,infoorella@academiatarapaca.com,www.colegioacademiatarapaca.com,Yury Marcos Vásquez Lavín,Corporacion Educacional Academia Tarapacá,DE TARAPACÁ,IQUIQUE
133,COLEGIO ADVENTISTA DE IQUIQUE,Libertad 750,2425565,cai@adm.educadventista.org,cai.educacionadventista.com,Daniel Eugenio Uribe Prieto,Fundacion Educacional Arnaldo Salamanca Cid,DE TARAPACÁ,IQUIQUE
12594,COLEGIO ANTAMARA,Cardenal Jose Maria Caro 2627,2384849,colegioantamara@antamara.cl,www.antamara.cl,Nagli Astrid Delgado Olivares,Fundación Educacional Antamara,DE TARAPACÁ,IQUIQUE
132,COLEGIO BAJO MOLLE,Km. 10 Manzana L Lote A Y B Bajo Molle,2247156,direccionmolle@colegiobajomolle.cl,colegiobajomolle.cl,Teresa Elizabeth Cortés Solís,Fundación Educacional Créate,DE TARAPACÁ,IQUIQUE
12682,COLEGIO BULNES,Bulnes 748,2247180,direccion@colegiobulnes.cl,www.colegiobulnes.cl,Oriana De Lourdes Maturana Salazar,Fundación Educacional Créate,DE TARAPACÁ,IQUIQUE
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,Anibal Pinto 955,963399868,codetp@slepiquique.cl,Sin información.,Cristian Eduardo Bugueño Marambio,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12518,COLEGIO DIOCESANO OBISPO LABBE,Amunategui 50,2738501,rectoria@cdol.cl,www.cdol.cl,Mauricio Del Carmen López Leiva,Fundacion Obispo Labbe,DE TARAPACÁ,IQUIQUE
131,COLEGIO ESCASCE,Cespedes Y Gonzalez 787,2412974,contacto@colegioescasce.cl,www.colegioescasce.cl,Sandra Mara Espejo Álvarez,Corporacion Educacional Ecl,DE TARAPACÁ,IQUIQUE
123,COLEGIO ESPANA,El Monte,2544854,espana@slepiquique.cl,sites.google.com/colegioespana.cl/colegioespanaiquique,Rosa Elizabeth Córdova Alache,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12688,COLEGIO GOLDEN NORTH,Anibal Pinto 1340,9070304,contacto@colegiogoldeniquique.cl,www.colegiogoldeniquique.cl,Helia José Del Carmen Contreras San Martín,Golden E.i.e.,DE TARAPACÁ,IQUIQUE
12669,COLEGIO HISPANO BRITANICO IQUIQUE,Avda. Salvador Allende Gossens 3925,2735600,heidimorgan@chb.cl,chb.cl,José Antonio Téllez Morales,Sociedad Educacional H.b. Spa,DE TARAPACÁ,IQUIQUE
12590,COLEGIO HISPANO ITALIANA,Orella 1785,2313256,corporacionhispanoitaliano@gmail.com,www.hispanoitaliano.cl,David Alejandro Ramírez Aguilar,Corporacion Educacional Colegio Hispano Italiano,DE TARAPACÁ,IQUIQUE
12710,COLEGIO HUANTAJAYA,Salvador Allende 1224,2415142,colegiohuantajaya.directora@gmail.com,colegiohuantajaya.cl,Esterlinda Alejandrina Montaño Rosales,Corp. Educacional Huantajaya,DE TARAPACÁ,IQUIQUE
12667,COLEGIO HUMBERSTONE,Avenida Rancagua 3264,2737000,informaciones@colegiohumberstone.cl,www.colegiohumberstone.cl,David Orlando Montecinos Herrera,Fundacion Educacional Nebraska,DE TARAPACÁ,IQUIQUE
12631,COLEGIO INGLES,Patricio Lynch 1580,2398000,info@colegioingles.org,www.colegioingles.org,José Alejandro Inzunza Sánchez,Fundacion Educacional Iquique English College,DE TARAPACÁ,IQUIQUE
